Column1,Column2,Column3,Column4
349,0,195,805
350,0,193,807
351,0,192,808
352,0,192,808
353,0,192,808
354,0,192,808
355,0,190,810
356,0,190,810
357,0,189,811
358,0,188,812
359,0,185,815
360,0,184,816
361,0,184,816
362,0,182,818
363,0,181,819
364,0,179,821
365,0,179,821
366,0,178,822
367,0,176,824
368,0,176,824
369,0,176,824
370,0,175,825
371,0,174,826
372,0,173,827
373,0,171,829
374,0,170,830
375,0,170,830
376,0,170,830
377,0,170,830
378,0,169,831
379,0,169,831
380,0,169,831
381,0,169,831
382,0,168,832
383,0,167,833
384,0,165,835
385,0,164,836
386,0,164,836
387,0,164,836
388,0,163,837
389,0,162,838
390,0,162,838
391,0,161,839
392,0,157,843
393,0,155,845
394,0,155,845
395,0,154,846
396,0,154,846
397,0,151,849
398,0,151,849
399,0,148,852
400,0,146,854
401,0,145,855
402,0,144,856
403,0,140,860
404,0,139,861
405,0,139,861
406,0,137,863
407,0,137,863
408,0,136,864
409,0,135,865
410,0,135,865
411,0,133,867
412,0,132,868
413,0,132,868
414,0,132,868
415,0,131,869
416,0,131,869
417,0,131,869
418,0,131,869
419,0,130,870
420,0,128,872
421,0,128,872
422,0,127,873
423,0,127,873
424,0,127,873
425,0,125,875
426,0,125,875
427,0,125,875
428,0,121,879
429,0,120,880
430,0,119,881
431,0,119,881
432,0,119,881
433,0,118,882
434,0,118,882
435,0,116,884
436,0,114,886
437,0,111,889
438,0,111,889
439,0,109,891
440,0,109,891
441,0,108,892
442,0,108,892
443,0,108,892
444,0,108,892
445,0,107,893
446,0,107,893
447,0,107,893
448,0,106,894
449,0,106,894
450,0,106,894
451,0,105,895
452,0,105,895
453,0,105,895
454,0,102,898
455,0,102,898
456,0,100,900
457,0,99,901
458,0,99,901
459,0,99,901
460,0,99,901
461,0,99,901
462,0,99,901
463,0,98,902
464,0,98,902
465,0,98,902
466,0,98,902
467,0,97,903
468,0,97,903
469,0,97,903
470,0,97,903
471,0,97,903
472,0,96,904
473,0,92,908
474,0,91,909
475,0,90,910
476,0,90,910
477,0,88,912
478,0,88,912
479,0,87,913
480,0,87,913
481,0,86,914
482,0,86,914
483,0,86,914
484,0,86,914
485,0,86,914
486,0,85,915
487,0,84,916
488,0,84,916
489,0,83,917
490,0,83,917
491,0,83,917
492,0,82,918
493,0,82,918
494,0,80,920
495,0,80,920
496,0,80,920
497,0,79,921
498,0,78,922
499,0,78,922
500,0,78,922
501,0,78,922
502,0,78,922
503,0,78,922
504,0,78,922
505,0,76,924
506,0,76,924
507,0,74,926
508,0,74,926
509,0,74,926
510,0,74,926
511,0,74,926
512,0,71,929
513,0,70,930
514,0,69,931
515,0,69,931
516,0,69,931
517,0,68,932
518,0,68,932
519,0,68,932
520,0,68,932
521,0,68,932
522,0,68,932
523,0,67,933
524,0,67,933
525,0,65,935
526,0,65,935
527,0,63,937
528,0,63,937
529,0,63,937
530,0,63,937
531,0,62,938
532,0,62,938
533,0,62,938
534,0,62,938
535,0,62,938
536,0,62,938
537,0,62,938
538,0,62,938
539,0,62,938
540,0,62,938
541,0,62,938
542,0,62,938
543,0,62,938
544,0,62,938
545,0,62,938
546,0,62,938
547,0,61,939
548,0,61,939
549,0,61,939
550,0,61,939
551,0,61,939
552,0,61,939
553,0,60,940
554,0,60,940
555,0,59,941
556,0,59,941
557,0,58,942
558,0,58,942
559,0,58,942
560,0,58,942
561,0,58,942
562,0,58,942
563,0,58,942
564,0,58,942
565,0,57,943
566,0,57,943
567,0,57,943
568,0,57,943
569,0,57,943
570,0,57,943
571,0,57,943
572,0,57,943
573,0,57,943
574,0,57,943
575,0,57,943
576,0,57,943
577,0,57,943
578,0,57,943
579,0,57,943
580,0,57,943
581,0,57,943
582,0,57,943
583,0,57,943
584,0,57,943
585,0,57,943
586,0,57,943
587,0,57,943
588,0,56,944
589,0,56,944
590,0,56,944
591,0,56,944
592,0,56,944
593,0,54,946
594,0,54,946
595,0,54,946
596,0,54,946
597,0,54,946
598,0,53,947
599,0,52,948
600,0,52,948
601,0,52,948
602,0,52,948
603,0,52,948
604,0,52,948
605,0,51,949
606,0,51,949
607,0,50,950
608,0,50,950
609,0,50,950
610,0,50,950
611,0,50,950
612,0,49,951
613,0,49,951
614,0,48,952
615,0,48,952
616,0,48,952
617,0,48,952
618,0,48,952
619,0,48,952
620,0,48,952
621,0,47,953
622,0,47,953
623,0,47,953
624,0,47,953
625,0,46,954
626,0,45,955
627,0,45,955
628,0,45,955
629,0,45,955
630,0,45,955
631,0,45,955
632,0,44,956
633,0,42,958
634,0,42,958
635,0,42,958
636,0,42,958
